PeakChr	PeakStart	PeakEnd	variant	CredibleSet	EnhancerID	CellType	PosteriorProb
chr1	201845369	201845825	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845219-201845975	bipolar_neuron_from_iPSC-ENCODE	NA
chr1	201845372	201845753	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845222-201845903	myotube_originated_from_skeletal_muscle_myoblast-Roadmap	NA
chr1	201845376	201845576	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845226-201845726	THP1_LPS_4hr-Engreitz	NA
chr1	201845379	201845579	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845229-201845729	transverse_colon-ENCODE	NA
chr1	201845379	201845579	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845229-201845729	A673-ENCODE	NA
chr1	201845381	201845581	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845231-201845731	BJAB_anti-IgM_anti-CD40_4hr-Engreitz	NA
chr1	201845384	201845584	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845234-201845734	Eahy926_VEGF	NA
chr1	201845391	201845591	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845241-201845741	TeloHAEC_Ctrl	NA
chr1	201845394	201845594	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845244-201845744	HeLa-S3-ENCODE	NA
chr1	201845394	201845594	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845244-201845744	brite_adipose-Loft2014	NA
chr1	201845399	201845599	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845249-201845749	BJAB-Engreitz	NA
chr1	201845403	201845603	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845253-201845753	Eahy926_IL1b	NA
chr1	201845406	201845606	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845256-201845756	HT29	NA
chr1	201845427	201845627	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845277-201845777	Eahy926_TNF	NA
chr1	201845428	201845628	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845278-201845778	THP_pmaLPS_ATAC_48h	NA
chr1	201845455	201845655	rs8024	CAD_Harst2017-rs2820315	genic|chr1:201845305-201845805	adrenal_gland-ENCODE	NA
chr1	201864967	201866306	rs8028	CAD_Harst2017-rs2820315	genic|chr1:201864817-201866456	TeloHAEC_TNF	NA
chr1	201865114	201866258	rs8028	CAD_Harst2017-rs2820315	genic|chr1:201864964-201866408	MM.1S-ENCODE	NA
chr1	201865122	201865839	rs8028	CAD_Harst2017-rs2820315	genic|chr1:201864972-201865989	adipose_tissue-ENCODE	NA
chr1	201872104	201872304	rs2820315	CAD_Harst2017-rs2820315	genic|chr1:201871954-201872454	large_intestine_fetal-ENCODE	NA
chr1	201872104	201872304	rs2820314	CAD_Harst2017-rs2820315	genic|chr1:201871954-201872454	large_intestine_fetal-ENCODE	NA
chr1	201872111	201872311	rs2820314	CAD_Harst2017-rs2820315	genic|chr1:201871961-201872461	pancreatic-ductal-cell-AMP	NA
chr1	201872111	201872311	rs2820315	CAD_Harst2017-rs2820315	genic|chr1:201871961-201872461	pancreatic-ductal-cell-AMP	NA
chr1	201872155	201872355	rs2820315	CAD_Harst2017-rs2820315	genic|chr1:201872005-201872505	CD14-positive_monocyte-Novakovic2016	NA
chr1	201872155	201872355	rs2820314	CAD_Harst2017-rs2820315	genic|chr1:201872005-201872505	CD14-positive_monocyte-Novakovic2016	NA
chr1	201872205	201872405	rs2820315	CAD_Harst2017-rs2820315	genic|chr1:201872055-201872555	sigmoid_colon-ENCODE	NA
chr1	201872205	201872405	rs2820314	CAD_Harst2017-rs2820315	genic|chr1:201872055-201872555	sigmoid_colon-ENCODE	NA
chr1	201872224	201872654	rs2820315	CAD_Harst2017-rs2820315	genic|chr1:201872074-201872804	MDA-MB-231	NA
chr1	201872237	201872437	rs2820315	CAD_Harst2017-rs2820315	genic|chr1:201872087-201872587	H1-hESC-ENCODE	NA
chr1	201872253	201872648	rs2820315	CAD_Harst2017-rs2820315	genic|chr1:201872103-201872798	gastrocnemius_medialis-ENCODE	NA
chr1	201884871	201885225	rs2819348	CAD_Harst2017-rs2820315	genic|chr1:201884721-201885375	adrenal_gland_fetal-ENCODE	NA
chr1	201884871	201885225	rs2819348	CAD_Harst2017-rs2820315	genic|chr1:201884721-201885375	adrenal_gland_fetal-Roadmap	NA
chr1	210464458	210465003	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464308-210465153	SK-N-SH-ENCODE	NA
chr1	210464467	210467147	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210464317-210467297	muscle_of_leg_fetal-Roadmap	NA
chr1	210464467	210467147	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464317-210467297	muscle_of_leg_fetal-Roadmap	NA
chr1	210464467	210467147	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464317-210467297	muscle_of_leg_fetal-Roadmap	NA
chr1	210464467	210467147	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464317-210467297	muscle_of_leg_fetal-Roadmap	NA
chr1	210464472	210466894	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464322-210467044	muscle_of_leg_fetal-ENCODE	NA
chr1	210464472	210466894	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464322-210467044	muscle_of_leg_fetal-ENCODE	NA
chr1	210464472	210466894	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464322-210467044	muscle_of_leg_fetal-ENCODE	NA
chr1	210464472	210466894	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210464322-210467044	muscle_of_leg_fetal-ENCODE	NA
chr1	210464481	210465588	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464331-210465738	adrenal_gland_fetal-Roadmap	NA
chr1	210464481	210464681	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464331-210464831	CD14-positive_monocyte-Novakovic2016	NA
chr1	210464481	210465588	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464331-210465738	adrenal_gland_fetal-Roadmap	NA
chr1	210464481	210465588	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464331-210465738	adrenal_gland_fetal-Roadmap	NA
chr1	210464488	210464688	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464338-210464838	adrenal_gland_fetal-ENCODE	NA
chr1	210464493	210464693	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464343-210464843	Adipocyte-Claussnitzer_d14	NA
chr1	210464512	210465031	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464362-210465181	Adipocyte-Claussnitzer_d0	NA
chr1	210464527	210465876	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464377-210466026	A673-ENCODE	NA
chr1	210464527	210465876	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464377-210466026	A673-ENCODE	NA
chr1	210464527	210465876	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464377-210466026	A673-ENCODE	NA
chr1	210464529	210465968	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464379-210466118	uterus-ENCODE	NA
chr1	210464529	210465968	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464379-210466118	uterus-ENCODE	NA
chr1	210464529	210465968	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464379-210466118	uterus-ENCODE	NA
chr1	210464531	210464949	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464381-210465099	Adipocyte-Claussnitzer_d2	NA
chr1	210464533	210466998	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464383-210467148	muscle_of_trunk_fetal-ENCODE	NA
chr1	210464533	210466998	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464383-210467148	muscle_of_trunk_fetal-ENCODE	NA
chr1	210464533	210466998	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464383-210467148	muscle_of_trunk_fetal-ENCODE	NA
chr1	210464533	210466998	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210464383-210467148	muscle_of_trunk_fetal-ENCODE	NA
chr1	210464549	210464749	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464399-210464899	Adipocyte-Claussnitzer_d6	NA
chr1	210464555	210467006	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210464405-210467156	muscle_of_trunk_fetal-Roadmap	NA
chr1	210464555	210467006	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464405-210467156	muscle_of_trunk_fetal-Roadmap	NA
chr1	210464555	210467006	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464405-210467156	muscle_of_trunk_fetal-Roadmap	NA
chr1	210464555	210467006	rs608791	CAD_Harst2017-rs60154123	intergenic|chr1:210464405-210467156	muscle_of_trunk_fetal-Roadmap	NA
chr1	210464825	210466226	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464675-210466376	thymus_fetal-Roadmap	NA
chr1	210464825	210466226	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464675-210466376	thymus_fetal-Roadmap	NA
chr1	210464919	210466802	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464769-210466952	H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap	NA
chr1	210464919	210466802	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464769-210466952	H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap	NA
chr1	210464989	210466882	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464839-210467032	spinal_cord_fetal-ENCODE	NA
chr1	210464989	210466882	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464839-210467032	spinal_cord_fetal-ENCODE	NA
chr1	210465044	210465587	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464894-210465737	adrenal_gland_fetal-ENCODE	NA
chr1	210465044	210465587	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464894-210465737	adrenal_gland_fetal-ENCODE	NA
chr1	210465061	210465501	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464911-210465651	astrocyte-Roadmap	NA
chr1	210465061	210465501	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464911-210465651	astrocyte-Roadmap	NA
chr1	210465067	210466850	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464917-210467000	stomach_fetal-ENCODE	NA
chr1	210465067	210466850	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464917-210467000	stomach_fetal-ENCODE	NA
chr1	210465140	210465853	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210464990-210466003	foreskin_fibroblast-Roadmap	NA
chr1	210465140	210465853	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210464990-210466003	foreskin_fibroblast-Roadmap	NA
chr1	210465166	210466863	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465016-210467013	stomach_fetal-Roadmap	NA
chr1	210465166	210466863	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465016-210467013	stomach_fetal-Roadmap	NA
chr1	210465175	210465864	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465025-210466014	Adipocyte-Claussnitzer_d6	NA
chr1	210465175	210465864	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465025-210466014	Adipocyte-Claussnitzer_d6	NA
chr1	210465248	210465448	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465098-210465598	fibroblast_of_dermis-ENCODE	NA
chr1	210465285	210465485	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465135-210465635	fibroblast_of_dermis-Roadmap	NA
chr1	210465285	210465485	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465135-210465635	fibroblast_of_dermis-Roadmap	NA
chr1	210465286	210465486	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465136-210465636	astrocyte-ENCODE	NA
chr1	210465286	210465486	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465136-210465636	astrocyte-ENCODE	NA
chr1	210465289	210465959	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465139-210466109	fibroblast_of_lung_fetal-ENCODE	NA
chr1	210465289	210465959	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465139-210466109	fibroblast_of_lung_fetal-ENCODE	NA
chr1	210465290	210465490	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465140-210465640	large_intestine_fetal-Roadmap	NA
chr1	210465290	210465490	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465140-210465640	large_intestine_fetal-Roadmap	NA
chr1	210465292	210465492	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465142-210465642	pancreas-Roadmap	NA
chr1	210465292	210465492	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465142-210465642	pancreas-Roadmap	NA
chr1	210465293	210465493	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465143-210465643	fibroblast_of_lung-Roadmap	NA
chr1	210465293	210465493	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465143-210465643	fibroblast_of_lung-Roadmap	NA
chr1	210465294	210466108	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465144-210466258	H1-hESC-Roadmap	NA
chr1	210465294	210466108	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465144-210466258	H1-hESC-Roadmap	NA
chr1	210465298	210466111	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465148-210466261	iPS_DF_19.11-ENCODE	NA
chr1	210465298	210466111	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465148-210466261	iPS_DF_19.11-ENCODE	NA
chr1	210465308	210465868	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465158-210466018	fibroblast_of_arm-ENCODE	NA
chr1	210465308	210465868	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465158-210466018	fibroblast_of_arm-ENCODE	NA
chr1	210465310	210466053	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465160-210466203	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	NA
chr1	210465310	210466053	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465160-210466203	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	NA
chr1	210465315	210466351	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465165-210466501	induced_pluripotent_stem_cell-ENCODE	NA
chr1	210465315	210466351	rs650854	CAD_Harst2017-rs60154123	intergenic|chr1:210465165-210466501	induced_pluripotent_stem_cell-ENCODE	NA
chr1	210465355	210466311	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465205-210466461	H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	NA
chr1	210465355	210465989	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465205-210466139	coronary_artery_smooth_muscle_cell-Miller2016	NA
chr1	210465375	210466645	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465225-210466795	coronary_artery-ENCODE	NA
chr1	210465376	210465576	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465226-210465726	sigmoid_colon-ENCODE	NA
chr1	210465381	210466318	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465231-210466468	H7	NA
chr1	210465388	210467003	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210465238-210467153	H9-ENCODE	NA
chr1	210465388	210467003	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465238-210467153	H9-ENCODE	NA
chr1	210465392	210466040	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465242-210466190	pancreatic-ductal-cell-AMP	NA
chr1	210465395	210466106	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465245-210466256	CD34-positive_mobilized-Roadmap	NA
chr1	210465398	210466084	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465248-210466234	transverse_colon-ENCODE	NA
chr1	210465410	210466218	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465260-210466368	H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap	NA
chr1	210465411	210466137	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465261-210466287	HAP1	NA
chr1	210465420	210466116	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465270-210466266	megakaryocyte-erythroid_progenitor-Corces2016	NA
chr1	210465440	210466114	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465290-210466264	H1-hESC-ENCODE	NA
chr1	210465443	210466123	rs1338290	CAD_Harst2017-rs60154123	intergenic|chr1:210465293-210466273	CD4-positive_helper_T_cell-Corces2016	NA
chr1	210465920	210466925	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210465770-210467075	stomach-Roadmap	NA
chr1	210466451	210466890	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466301-210467040	osteoblast-ENCODE	NA
chr1	210466489	210466907	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466339-210467057	fibroblast_of_arm-ENCODE	NA
chr1	210466492	210466924	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466342-210467074	foreskin_fibroblast-Roadmap	NA
chr1	210466493	210466912	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466343-210467062	psoas_muscle-Roadmap	NA
chr1	210466555	210467139	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466405-210467289	astrocyte-Roadmap	NA
chr1	210466570	210466939	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466420-210467089	fibroblast_of_dermis-Roadmap	NA
chr1	210466580	210466973	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466430-210467123	fibroblast_of_lung_fetal-ENCODE	NA
chr1	210466582	210467143	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466432-210467293	hepatocyte-ENCODE	NA
chr1	210466695	210466895	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466545-210467045	Adipocyte-Claussnitzer_d6	NA
chr1	210466703	210466903	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466553-210467053	liver-ENCODE	NA
chr1	210466706	210466906	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466556-210467056	heart_ventricle-ENCODE	NA
chr1	210466765	210466965	rs12030512	CAD_Harst2017-rs60154123	intergenic|chr1:210466615-210467115	CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016	NA
chr1	210468314	210469013	rs60154123	CAD_Harst2017-rs60154123	intergenic|chr1:210468164-210469163	muscle_of_leg_fetal-Roadmap	NA
chr1	210468315	210469039	rs60154123	CAD_Harst2017-rs60154123	intergenic|chr1:210468165-210469189	fibroblast_of_dermis-ENCODE	NA
chr1	210468327	210469027	rs60154123	CAD_Harst2017-rs60154123	intergenic|chr1:210468177-210469177	stomach_fetal-ENCODE	NA
chr1	210468335	210469273	rs60154123	CAD_Harst2017-rs60154123	intergenic|chr1:210468185-210469423	fibroblast_of_dermis-Roadmap	NA
chr1	210468337	210469266	rs60154123	CAD_Harst2017-rs60154123	intergenic|chr1:210468187-210469416	A673-ENCODE	NA
chr1	210468342	210469027	rs60154123	CAD_Harst2017-rs60154123	intergenic|chr1:210468192-210469177	spinal_cord_fetal-ENCODE	NA
chr1	210468360	210469018	rs60154123	CAD_Harst2017-rs60154123	intergenic|chr1:210468210-210469168	foreskin_fibroblast-Roadmap	NA
chr1	210468426	210469034	rs60154123	CAD_Harst2017-rs60154123	intergenic|chr1:210468276-210469184	muscle_of_trunk_fetal-Roadmap	NA
chr1	210468434	210469029	rs60154123	CAD_Harst2017-rs60154123	intergenic|chr1:210468284-210469179	muscle_of_leg_fetal-ENCODE	NA
chr1	210468816	210469016	rs60154123	CAD_Harst2017-rs60154123	intergenic|chr1:210468666-210469166	U937_LPS_4hr-Engreitz	NA
chr1	210471273	210471473	rs12030856	CAD_Harst2017-rs60154123	intergenic|chr1:210471123-210471623	THP-1_monocyte-VanBortle2017	NA
chr1	210471731	210471931	rs58366398	CAD_Harst2017-rs60154123	intergenic|chr1:210471581-210472081	muscle_of_trunk_fetal-ENCODE	NA
chr1	210471738	210472061	rs58366398	CAD_Harst2017-rs60154123	intergenic|chr1:210471588-210472211	muscle_of_leg_fetal-ENCODE	NA
chr1	210471738	210472061	rs12040684	CAD_Harst2017-rs60154123	intergenic|chr1:210471588-210472211	muscle_of_leg_fetal-ENCODE	NA
chr1	210471741	210471941	rs58366398	CAD_Harst2017-rs60154123	intergenic|chr1:210471591-210472091	muscle_of_leg_fetal-Roadmap	NA
chr1	210471742	210471942	rs58366398	CAD_Harst2017-rs60154123	intergenic|chr1:210471592-210472092	fibroblast_of_dermis-Roadmap	NA
chr1	210474122	210474930	rs12074229	CAD_Harst2017-rs60154123	intergenic|chr1:210473972-210475080	megakaryocyte-erythroid_progenitor-Corces2016	NA
chr1	210474355	210475015	rs12074229	CAD_Harst2017-rs60154123	intergenic|chr1:210474205-210475165	transverse_colon-ENCODE	NA
chr1	210474634	210476190	rs12034871	CAD_Harst2017-rs60154123	intergenic|chr1:210474484-210476340	spinal_cord_fetal-ENCODE	NA
chr1	210475532	210476223	rs12034871	CAD_Harst2017-rs60154123	intergenic|chr1:210475382-210476373	CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016	NA
chr1	210475596	210475796	rs12034871	CAD_Harst2017-rs60154123	intergenic|chr1:210475446-210475946	CD14-positive_monocyte_treated_with_BG_4h-Novakovic2016	NA
chr1	210475624	210475824	rs12034871	CAD_Harst2017-rs60154123	intergenic|chr1:210475474-210475974	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_1_hour-Garber2017	NA
chr1	210475670	210475870	rs12034871	CAD_Harst2017-rs60154123	intergenic|chr1:210475520-210476020	CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016	NA
chr1	210475691	210475891	rs12034871	CAD_Harst2017-rs60154123	intergenic|chr1:210475541-210476041	CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016	NA
chr1	210476317	210476517	rs4844996	CAD_Harst2017-rs60154123	intergenic|chr1:210476167-210476667	CD14-positive_monocyte-Novakovic2016	NA
chr1	210476368	210476568	rs4844996	CAD_Harst2017-rs60154123	intergenic|chr1:210476218-210476718	CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016	NA
chr1	210476419	210476619	rs4844996	CAD_Harst2017-rs60154123	intergenic|chr1:210476269-210476769	adipose_tissue-ENCODE	NA
chr1	222793940	222794140	rs17163301	CAD_Harst2017-rs67180937	genic|chr1:222793790-222794290	GM12878-Roadmap	NA
chr1	222793969	222794282	rs17163301	CAD_Harst2017-rs67180937	genic|chr1:222793819-222794432	GM12878-ENCODE	NA
chr1	222794018	222794294	rs17163301	CAD_Harst2017-rs67180937	genic|chr1:222793868-222794444	MM.1S-ENCODE	NA
chr1	222797600	222797800	rs4846384	CAD_Harst2017-rs67180937	genic|chr1:222797450-222797950	NCCIT	NA
chr1	222826472	222826672	rs2291832	CAD_Harst2017-rs67180937	genic|chr1:222826322-222826822	liver-ENCODE	NA
chr1	222826948	222828976	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222826798-222829126	CD3-positive_T_cell-Roadmap	NA
chr1	222827703	222829336	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222827553-222829486	T-cell-ENCODE	NA
chr1	222828016	222829096	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222827866-222829246	B_cell-ENCODE	NA
chr1	222828126	222828730	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222827976-222828880	CD56-positive_natural_killer_cells-Roadmap	NA
chr1	222828138	222829265	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222827988-222829415	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017	NA
chr1	222828144	222829181	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222827994-222829331	dendritic_cell_treated_with_Lipopolysaccharide_0_ng-mL_for_0_hour-Garber2017	NA
chr1	222828316	222828885	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222828166-222829035	small_intestine_fetal-ENCODE	NA
chr1	222828320	222829005	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222828170-222829155	U937_LPS_4hr-Engreitz	NA
chr1	222828322	222828900	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222828172-222829050	CD19-positive_B_cell-Roadmap	NA
chr1	222828327	222829258	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222828177-222829408	THP_pmaLPS_ATAC_120h	NA
chr1	222828334	222829250	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222828184-222829400	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017	NA
chr1	222828349	222828824	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222828199-222828974	ovary-Roadmap	NA
chr1	222828350	222829266	rs17163363	CAD_Harst2017-rs67180937	genic|chr1:222828200-222829416	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017	NA
chr1	222834301	222835152	rs4575092	CAD_Harst2017-rs67180937	genic|chr1:222834151-222835302	megakaryocyte-erythroid_progenitor-Corces2016	NA
chr1	222834301	222835152	rs1133220	CAD_Harst2017-rs67180937	genic|chr1:222834151-222835302	megakaryocyte-erythroid_progenitor-Corces2016	NA
chr1	222834392	222834592	rs4575092	CAD_Harst2017-rs67180937	genic|chr1:222834242-222834742	CD8-positive_alpha-beta_T_cell-Corces2016	NA
chr1	222837767	222837967	rs17465982	CAD_Harst2017-rs67180937	genic|chr1:222837617-222838117	CD3-positive_T_cell-Roadmap	NA
chr1	222837830	222838030	rs17465982	CAD_Harst2017-rs67180937	genic|chr1:222837680-222838180	pancreatic-ductal-cell-AMP	NA
chr1	222837938	222838138	rs17465982	CAD_Harst2017-rs67180937	genic|chr1:222837788-222838288	LNCAP	NA
chr1	230843634	230844421	rs2493133	CAD_Harst2017-rs699	genic|chr1:230843484-230844571	CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016	NA
chr1	230843634	230844421	rs2478543	CAD_Harst2017-rs699	genic|chr1:230843484-230844571	CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016	NA
chr1	230844124	230844559	rs2478543	CAD_Harst2017-rs699	genic|chr1:230843974-230844709	gastrocnemius_medialis-ENCODE	NA
chr1	230844124	230844559	rs2493133	CAD_Harst2017-rs699	genic|chr1:230843974-230844709	gastrocnemius_medialis-ENCODE	NA
chr1	230844126	230844326	rs2493133	CAD_Harst2017-rs699	genic|chr1:230843976-230844476	CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016	NA
chr1	230844126	230844326	rs2478543	CAD_Harst2017-rs699	genic|chr1:230843976-230844476	CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016	NA
chr1	230844132	230844332	rs2478543	CAD_Harst2017-rs699	genic|chr1:230843982-230844482	U937-Engreitz	NA
chr1	230844132	230844332	rs2493133	CAD_Harst2017-rs699	genic|chr1:230843982-230844482	U937-Engreitz	NA
chr1	230844159	230844359	rs2478543	CAD_Harst2017-rs699	genic|chr1:230844009-230844509	coronary_artery-ENCODE	NA
chr1	230844159	230844359	rs2493133	CAD_Harst2017-rs699	genic|chr1:230844009-230844509	coronary_artery-ENCODE	NA
chr1	230844243	230844579	rs2478543	CAD_Harst2017-rs699	genic|chr1:230844093-230844729	psoas_muscle-Roadmap	NA
chr1	230844243	230844579	rs2493133	CAD_Harst2017-rs699	genic|chr1:230844093-230844729	psoas_muscle-Roadmap	NA
chr1	230844254	230844533	rs2493133	CAD_Harst2017-rs699	genic|chr1:230844104-230844683	hepatocyte-ENCODE	NA
