CredibleSet	LeadVariant	TargetGene	variant	chr	position	Coding	codingVariant	CellTypeOftheClosestECPeak	variantInClosestECPeak	RankOfGeneTSSDistanceToECPeakWithVariant	CellTypesWithEPInteractions	MaxABC.Score	MaxABCVariant	MaxABC.Rank	ECCellTypesWithEPInteractions	MaxABC.Score.EC	MacABCECVariant	MaxABC.Rank.ECOnly	lead_SNP_to_TSS_distance	rank_lead_SNP_to_TSS
CAD_Harst2017-rs1321309	rs1321309	DINO	rs2395655	chr6	36645696	NA	NA	NA	NA	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.118946	TRUE	1	7700	2
CAD_Harst2017-rs1321309	rs1321309	DINO	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.213397	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.118946	TRUE	1	7700	2
CAD_Harst2017-rs1321309	rs1321309	ETV7	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.021879	TRUE	10	NA	NA	NA	NA	-283059	12
CAD_Harst2017-rs1321309	rs1321309	KCTD20	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.022893	TRUE	9	NA	NA	NA	NA	-228093	11
CAD_Harst2017-rs1321309	rs1321309	MTCH1	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.023424	TRUE	7	NA	NA	NA	NA	315691	14
CAD_Harst2017-rs1321309	rs1321309	PANDAR	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	GM12878-ENCODE	0.131194	TRUE	2	NA	NA	NA	NA	4267	1
CAD_Harst2017-rs1321309	rs1321309	PI16	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.024066	TRUE	6	NA	NA	NA	NA	283572	13
CAD_Harst2017-rs1321309	rs1321309	PIM1	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.016421	TRUE	12	NA	NA	NA	NA	499285	19
CAD_Harst2017-rs1321309	rs1321309	PPIL1	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.028673	TRUE	5	NA	NA	NA	NA	204164	8
CAD_Harst2017-rs1321309	rs1321309	PXT1	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.022893	TRUE	9	NA	NA	NA	NA	-227970	10
CAD_Harst2017-rs1321309	rs1321309	SRSF3	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.039788	TRUE	3	NA	NA	NA	NA	-76547	5
CAD_Harst2017-rs1321309	rs1321309	STK38	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.023239	TRUE	8	NA	NA	NA	NA	-123343	7
CAD_Harst2017-rs1351525	rs1351525	ARNTL	rs2279285	chr11	13298687	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	-2275	1
CAD_Harst2017-rs1351525	rs1351525	ARNTL	rs2279286	chr11	13298519	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	-2275	1
CAD_Harst2017-rs1351525	rs1351525	ARNTL	rs4757139	chr11	13300456	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	-2275	1
CAD_Harst2017-rs1351525	rs1351525	ARNTL	rs4757140	chr11	13300540	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	-2275	1
CAD_Harst2017-rs1351525	rs1351525	ARNTL	rs61882122	chr11	13299895	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	-2275	1
CAD_Harst2017-rs1351525	rs1351525	ARNTL	rs7928655	chr11	13300252	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.510583	TRUE	1	-2275	1
CAD_Harst2017-rs13723	rs13723	ABHD15	rs871014	chr17	27945339	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.025203	TRUE	8	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.025203	TRUE	8	-47844	5
CAD_Harst2017-rs13723	rs13723	ANKRD13B	rs871014	chr17	27945339	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.054976	TRUE	3	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.054976	TRUE	3	-21360	2
CAD_Harst2017-rs13723	rs13723	CORO6	rs13723	chr17	27941886	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.423346	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.423346	TRUE	1	6555	1
CAD_Harst2017-rs13723	rs13723	CORO6	rs871014	chr17	27945339	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.423346	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.423346	TRUE	1	6555	1
CAD_Harst2017-rs13723	rs13723	GIT1	rs871014	chr17	27945339	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.040701	TRUE	4	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.040701	TRUE	4	-25276	3
CAD_Harst2017-rs13723	rs13723	NUFIP2	rs871014	chr17	27945339	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.02597	TRUE	7	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.02597	TRUE	7	-320720	8
CAD_Harst2017-rs13723	rs13723	SSH2	rs13723	chr17	27941886	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.104902	TRUE	2	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.104902	TRUE	2	315360	7
CAD_Harst2017-rs13723	rs13723	SSH2	rs871014	chr17	27945339	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.104902	TRUE	2	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.104902	TRUE	2	315360	7
CAD_Harst2017-rs13723	rs13723	TAOK1	rs871014	chr17	27945339	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.026787	TRUE	6	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.026787	TRUE	6	-223944	6
CAD_Harst2017-rs13723	rs13723	TP53I13	rs871014	chr17	27945339	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.038998	TRUE	5	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.038998	TRUE	5	-46225	4
CAD_Harst2017-rs15052	rs15052	ATP5SL	rs15052	chr19	41813375	NA	NA	NA	NA	NA	CD56-positive_natural_killer_cells-Roadmap	0.022449	TRUE	4	NA	NA	NA	NA	132468	11
CAD_Harst2017-rs15052	rs15052	B3GNT8	rs15052	chr19	41813375	NA	NA	NA	NA	NA	CD56-positive_natural_killer_cells-Roadmap	0.019739	TRUE	6	NA	NA	NA	NA	121260	10
CAD_Harst2017-rs15052	rs15052	B9D2	rs15052	chr19	41813375	NA	NA	NA	NA	NA	CD56-positive_natural_killer_cells-Roadmap	0.018195	TRUE	9	NA	NA	NA	NA	56703	4
CAD_Harst2017-rs15052	rs15052	BCKDHA	rs15052	chr19	41813375	NA	NA	NA	NA	NA	CD56-positive_natural_killer_cells-Roadmap	0.019364	TRUE	7	NA	NA	NA	NA	90318	8
CAD_Harst2017-rs15052	rs15052	CCDC97	rs15052	chr19	41813375	NA	NA	NA	NA	NA	T-cell-ENCODE	0.196678	TRUE	1	NA	NA	NA	NA	2692	1
CAD_Harst2017-rs15052	rs15052	CCDC97	rs56254331	chr19	41826020	NA	NA	NA	NA	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.017079	TRUE	1	2692	1
CAD_Harst2017-rs15052	rs15052	CEACAM21	rs15052	chr19	41813375	NA	NA	NA	NA	NA	CD56-positive_natural_killer_cells-Roadmap	0.019018	TRUE	8	NA	NA	NA	NA	269155	16
CAD_Harst2017-rs15052	rs15052	CEACAM4	rs15052	chr19	41813375	NA	NA	NA	NA	NA	CD56-positive_natural_killer_cells-Roadmap	0.016168	TRUE	10	NA	NA	NA	NA	320067	18
CAD_Harst2017-rs15052	rs15052	EXOSC5	rs15052	chr19	41813375	NA	NA	NA	NA	NA	CD56-positive_natural_killer_cells-Roadmap	0.019364	TRUE	7	NA	NA	NA	NA	89881	7
CAD_Harst2017-rs15052	rs15052	HNRNPUL1	rs15052	chr19	41813375	NA	NA	NA	NA	NA	CD56-positive_natural_killer_cells-Roadmap	0.040089	TRUE	2	NA	NA	NA	NA	-42421	2
CAD_Harst2017-rs15052	rs15052	TGFB1	rs15052	chr19	41813375	NA	NA	NA	NA	NA	CD56-positive_natural_killer_cells-Roadmap	0.026445	TRUE	3	NA	NA	NA	NA	46413	3
CAD_Harst2017-rs15052	rs15052	TMEM91	rs15052	chr19	41813375	NA	NA	NA	NA	NA	CD56-positive_natural_killer_cells-Roadmap	0.020215	TRUE	5	NA	NA	NA	NA	69062	5
CAD_Harst2017-rs1508798	rs1508798	FAM173B	rs74982463	chr5	9543585	NA	NA	NA	NA	NA	muscle_of_leg_fetal-Roadmap	0.019734	TRUE	3	NA	NA	NA	NA	693327	4
CAD_Harst2017-rs1508798	rs1508798	SEMA5A	rs113140904	chr5	9546135	NA	NA	NA	NA	NA	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.391323	TRUE	1	NA	NA	NA	NA	-10461	2
CAD_Harst2017-rs1508798	rs1508798	SEMA5A	rs1614229	chr5	9546995	NA	NA	NA	NA	NA	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.391323	TRUE	1	NA	NA	NA	NA	-10461	2
CAD_Harst2017-rs1508798	rs1508798	SEMA5A	rs1651285	chr5	9547941	NA	NA	NA	NA	NA	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.391323	TRUE	1	NA	NA	NA	NA	-10461	2
CAD_Harst2017-rs1508798	rs1508798	SEMA5A	rs1706987	chr5	9547965	NA	NA	NA	NA	NA	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.391323	TRUE	1	NA	NA	NA	NA	-10461	2
CAD_Harst2017-rs1508798	rs1508798	SNHG18	rs113140904	chr5	9546135	NA	NA	NA	NA	NA	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.391321	TRUE	2	NA	NA	NA	NA	-10383	1
CAD_Harst2017-rs1508798	rs1508798	SNHG18	rs1614229	chr5	9546995	NA	NA	NA	NA	NA	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.391321	TRUE	2	NA	NA	NA	NA	-10383	1
CAD_Harst2017-rs1508798	rs1508798	SNHG18	rs1651285	chr5	9547941	NA	NA	NA	NA	NA	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.391321	TRUE	2	NA	NA	NA	NA	-10383	1
CAD_Harst2017-rs1508798	rs1508798	SNHG18	rs1706987	chr5	9547965	NA	NA	NA	NA	NA	H1_Derived_Mesenchymal_Stem_Cells-Roadmap	0.391321	TRUE	2	NA	NA	NA	NA	-10383	1
CAD_Harst2017-rs1591805	rs1591805	CENPW	rs9398803	chr6	126683594	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d6	0.020292	TRUE	1	NA	NA	NA	NA	-56130	1
CAD_Harst2017-rs16844401	rs16844401	HGFAC	rs16844401	chr4	3449652	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5993	1
CAD_Harst2017-rs16844401	rs16844401	HGFAC	rs2073505	chr4	3444503	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5993	1
CAD_Harst2017-rs17080091	rs17080091	AKAP12	rs17080102	chr6	151004770	NA	NA	NA	NA	NA	TeloHAEC_Ctrl	0.031224	TRUE	3	TeloHAEC_Ctrl	0.031224	TRUE	3	563732	4
CAD_Harst2017-rs17080091	rs17080091	IYD	rs17080102	chr6	151004770	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.049054	TRUE	2	TeloHAEC_TNF	0.049054	TRUE	2	-307374	3
CAD_Harst2017-rs17080091	rs17080091	MTHFD1L	rs17080102	chr6	151004770	NA	NA	NA	NA	NA	TeloHAEC_Ctrl	0.027157	TRUE	4	TeloHAEC_Ctrl	0.027157	TRUE	4	189413	2
CAD_Harst2017-rs17080091	rs17080091	PLEKHG1	rs17080102	chr6	151004770	NA	NA	NA	NA	NA	TeloHAEC_Ctrl	0.076862	TRUE	1	TeloHAEC_Ctrl	0.076862	TRUE	1	-76401	1
CAD_Harst2017-rs17608766	rs17608766	GOSR2	rs17608766	chr17	45013271	NA	NA	NA	NA	NA	erythroblast-Corces2016	0.067088	TRUE	2	TeloHAEC_Ctrl	0.026869	TRUE	1	-12789	1
CAD_Harst2017-rs17608766	rs17608766	RPRML	rs80335285	chr17	45055107	NA	NA	NA	NA	NA	bipolar_neuron_from_iPSC-ENCODE	0.148864	TRUE	1	NA	NA	NA	NA	43343	2
CAD_Harst2017-rs17608766	rs17608766	WNT3	rs17608766	chr17	45013271	NA	NA	NA	NA	NA	erythroblast-Corces2016	0.018174	TRUE	3	NA	NA	NA	NA	-117145	4
CAD_Harst2017-rs17608766	rs17608766	WNT9B	rs17608766	chr17	45013271	NA	NA	NA	NA	NA	small_intestine_fetal-Roadmap	0.016533	TRUE	4	NA	NA	NA	NA	-84320	3
CAD_Harst2017-rs17678683	rs17678683	GTDC1	rs16823835	chr2	145288341	NA	NA	NA	NA	NA	brite_adipose-Loft2014	0.034582	TRUE	2	NA	NA	NA	NA	-196458	3
CAD_Harst2017-rs17678683	rs17678683	ZEB2	rs16823835	chr2	145288341	NA	NA	NA	NA	NA	brite_adipose-Loft2014	0.083609	TRUE	1	NA	NA	NA	NA	-8601	1
CAD_Harst2017-rs17680741	rs17680741	DYDC1	rs17680741	chr10	82251514	NA	NA	NA	NA	NA	CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016	0.023495	TRUE	4	NA	NA	NA	NA	-135000	4
CAD_Harst2017-rs17680741	rs17680741	FAM213A	rs12260962	chr10	82262826	NA	NA	NA	NA	NA	trophoblast_cell-ENCODE	0.029479	TRUE	3	NA	NA	NA	NA	-83273	3
CAD_Harst2017-rs17680741	rs17680741	MAT1A	rs12260962	chr10	82262826	NA	NA	NA	NA	NA	trophoblast_cell-ENCODE	0.016232	TRUE	5	NA	NA	NA	NA	-202080	6
CAD_Harst2017-rs17680741	rs17680741	SH2D4B	rs12260962	chr10	82262826	NA	NA	NA	NA	NA	trophoblast_cell-ENCODE	0.037405	TRUE	2	NA	NA	NA	NA	46143	2
CAD_Harst2017-rs17680741	rs17680741	TSPAN14	rs12260962	chr10	82262826	NA	NA	NA	NA	NA	trophoblast_cell-ENCODE	0.052385	TRUE	1	NA	NA	NA	NA	-37477	1
CAD_Harst2017-rs17843797	rs17843797	UMPS	rs4678145	chr3	124450081	NA	NA	NA	NA	NA	HepG2-Roadmap	0.044129	TRUE	1	NA	NA	NA	NA	-3810	1
CAD_Harst2017-rs1800449	rs1800449	LOX	rs1800449	chr5	121413208	TRUE	TRUE	NA	NA	NA	fibroblast_of_arm-ENCODE	0.393254	TRUE	1	Eahy926_IL1b	0.250522	TRUE	1	988	1
CAD_Harst2017-rs1800449	rs1800449	LOX	rs2288393	chr5	121412890	NA	NA	NA	NA	NA	fibroblast_of_arm-ENCODE	0.393254	TRUE	1	Eahy926_IL1b	0.250522	TRUE	1	988	1
CAD_Harst2017-rs1800449	rs1800449	SNCAIP	rs2288393	chr5	121412890	NA	NA	NA	NA	NA	coronary_artery_smooth_muscle_cell-Miller2016	0.036095	TRUE	4	teloHAEC	0.017569	TRUE	4	234555	5
CAD_Harst2017-rs1800449	rs1800449	SRFBP1	rs1800449	chr5	121413208	NA	NA	NA	NA	NA	fibroblast_of_arm-ENCODE	0.117258	TRUE	2	NA	NA	NA	NA	-115553	3
CAD_Harst2017-rs1800449	rs1800449	SRFBP1	rs2288393	chr5	121412890	NA	NA	NA	NA	NA	fibroblast_of_arm-ENCODE	0.117258	TRUE	2	teloHAEC	0.035752	TRUE	2	-115553	3
CAD_Harst2017-rs1800449	rs1800449	ZNF474	rs2288393	chr5	121412890	NA	NA	NA	NA	NA	coronary_artery_smooth_muscle_cell-Miller2016	0.043072	TRUE	3	teloHAEC	0.024027	TRUE	3	51999	2
CAD_Harst2017-rs1867624	rs1867624	PECAM1	rs2812	chr17	62401118	NA	NA	NA	NA	NA	MCF-7-ENCODE	0.0218	TRUE	1	NA	NA	NA	NA	19992	1
CAD_Harst2017-rs1892094	rs1892094	ATP1B1	rs17349271	chr1	169117882	NA	NA	NA	NA	NA	HepG2-Roadmap	0.034741	TRUE	1	NA	NA	NA	NA	-18513	1
CAD_Harst2017-rs1892094	rs1892094	BLZF1	rs17349271	chr1	169117882	NA	NA	NA	NA	NA	HepG2-Roadmap	0.032332	TRUE	2	NA	NA	NA	NA	242657	2
CAD_Harst2017-rs1892094	rs1892094	CCDC181	rs17349271	chr1	169117882	NA	NA	NA	NA	NA	HepG2-Roadmap	0.024852	TRUE	3	NA	NA	NA	NA	302253	4
CAD_Harst2017-rs1892094	rs1892094	F5	rs17349271	chr1	169117882	NA	NA	NA	NA	NA	HepG2-Roadmap	0.015708	TRUE	4	NA	NA	NA	NA	461310	7
CAD_Harst2017-rs1892094	rs1892094	NME7	rs17349271	chr1	169117882	NA	NA	NA	NA	NA	HepG2-Roadmap	0.032332	TRUE	2	NA	NA	NA	NA	242742	3
CAD_Harst2017-rs2071382	rs2071382	BLM	rs11539637	chr15	91428290	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.102733	TRUE	4	TeloHAEC_TNF	0.102733	TRUE	4	-167640	9
CAD_Harst2017-rs2071382	rs2071382	BLM	rs1894401	chr15	91429042	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.102733	TRUE	4	TeloHAEC_TNF	0.102733	TRUE	4	-167640	9
CAD_Harst2017-rs2071382	rs2071382	BLM	rs2071382	chr15	91428197	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.102733	TRUE	4	TeloHAEC_TNF	0.102733	TRUE	4	-167640	9
CAD_Harst2017-rs2071382	rs2071382	BLM	rs7177338	chr15	91428636	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.102733	TRUE	4	TeloHAEC_TNF	0.102733	TRUE	4	-167640	9
CAD_Harst2017-rs2071382	rs2071382	BLM	rs7183988	chr15	91428589	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.102733	TRUE	4	TeloHAEC_TNF	0.102733	TRUE	4	-167640	9
CAD_Harst2017-rs2071382	rs2071382	CRTC3	rs17514846	chr15	91416550	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.030151	TRUE	7	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.030151	TRUE	5	-355080	11
CAD_Harst2017-rs2071382	rs2071382	FES	rs11539637	chr15	91428290	TRUE	TRUE	NA	NA	NA	TeloHAEC_TNF	0.386067	TRUE	1	TeloHAEC_TNF	0.386067	TRUE	1	78	1
CAD_Harst2017-rs2071382	rs2071382	FES	rs1894401	chr15	91429042	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.386067	TRUE	1	TeloHAEC_TNF	0.386067	TRUE	1	78	1
CAD_Harst2017-rs2071382	rs2071382	FES	rs2071382	chr15	91428197	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.386067	TRUE	1	TeloHAEC_TNF	0.386067	TRUE	1	78	1
CAD_Harst2017-rs2071382	rs2071382	FES	rs7177338	chr15	91428636	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.386067	TRUE	1	TeloHAEC_TNF	0.386067	TRUE	1	78	1
CAD_Harst2017-rs2071382	rs2071382	FES	rs7183988	chr15	91428589	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.386067	TRUE	1	TeloHAEC_TNF	0.386067	TRUE	1	78	1
CAD_Harst2017-rs2071382	rs2071382	FURIN	rs11539637	chr15	91428290	NA	NA	NA	NA	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.131266	TRUE	2	-16376	2
CAD_Harst2017-rs2071382	rs2071382	FURIN	rs17514846	chr15	91416550	NA	NA	NA	NA	NA	myotube_originated_from_skeletal_muscle_myoblast-Roadmap	0.136918	TRUE	2	NA	NA	NA	NA	-16376	2
CAD_Harst2017-rs2071382	rs2071382	FURIN	rs1894401	chr15	91429042	NA	NA	NA	NA	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.131266	TRUE	2	-16376	2
CAD_Harst2017-rs2071382	rs2071382	FURIN	rs2071382	chr15	91428197	NA	NA	NA	NA	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.131266	TRUE	2	-16376	2
CAD_Harst2017-rs2071382	rs2071382	FURIN	rs7177338	chr15	91428636	NA	NA	NA	NA	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.131266	TRUE	2	-16376	2
CAD_Harst2017-rs2071382	rs2071382	FURIN	rs7183988	chr15	91428589	NA	NA	NA	NA	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.131266	TRUE	2	-16376	2
CAD_Harst2017-rs2071382	rs2071382	HDDC3	rs17514846	chr15	91416550	NA	NA	NA	NA	NA	myotube_originated_from_skeletal_muscle_myoblast-Roadmap	0.032964	TRUE	5	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.026648	TRUE	9	47602	4
CAD_Harst2017-rs2071382	rs2071382	IQGAP1	rs17514846	chr15	91416550	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.027651	TRUE	9	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.027651	TRUE	7	-496725	12
CAD_Harst2017-rs2071382	rs2071382	MAN2A2	rs11539637	chr15	91428290	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.11911	TRUE	3	TeloHAEC_TNF	0.11911	TRUE	3	17733	3
CAD_Harst2017-rs2071382	rs2071382	MAN2A2	rs1894401	chr15	91429042	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.11911	TRUE	3	TeloHAEC_TNF	0.11911	TRUE	3	17733	3
CAD_Harst2017-rs2071382	rs2071382	MAN2A2	rs2071382	chr15	91428197	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.11911	TRUE	3	TeloHAEC_TNF	0.11911	TRUE	3	17733	3
CAD_Harst2017-rs2071382	rs2071382	MAN2A2	rs7177338	chr15	91428636	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.11911	TRUE	3	TeloHAEC_TNF	0.11911	TRUE	3	17733	3
CAD_Harst2017-rs2071382	rs2071382	MAN2A2	rs7183988	chr15	91428589	NA	NA	NA	NA	NA	TeloHAEC_TNF	0.11911	TRUE	3	TeloHAEC_TNF	0.11911	TRUE	3	17733	3
CAD_Harst2017-rs2071382	rs2071382	PRC1	rs17514846	chr15	91416550	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.029002	TRUE	8	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.029002	TRUE	6	109684	7
CAD_Harst2017-rs2071382	rs2071382	RCCD1	rs17514846	chr15	91416550	NA	NA	NA	NA	NA	myotube_originated_from_skeletal_muscle_myoblast-Roadmap	0.021328	TRUE	10	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.015791	TRUE	11	69908	6
CAD_Harst2017-rs2071382	rs2071382	UNC45A	rs17514846	chr15	91416550	NA	NA	NA	NA	NA	myotube_originated_from_skeletal_muscle_myoblast-Roadmap	0.03296	TRUE	6	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.026655	TRUE	8	49918	5
CAD_Harst2017-rs2071382	rs2071382	VPS33B	rs17514846	chr15	91416550	NA	NA	NA	NA	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.017943	TRUE	10	137654	8
CAD_Harst2017-rs2071382	rs2071382	VPS33B	rs1894401	chr15	91429042	NA	NA	NA	NA	NA	spleen-ENCODE	0.018229	TRUE	11	NA	NA	NA	NA	137654	8
CAD_Harst2017-rs2083636	rs2083636	ATP6V1B2	rs327	chr8	19819536	NA	NA	NA	NA	NA	Karpas-422-ENCODE	0.029531	TRUE	2	NA	NA	NA	NA	189440	3
CAD_Harst2017-rs2083636	rs2083636	ATP6V1B2	rs331	chr8	19820405	NA	NA	NA	NA	NA	Karpas-422-ENCODE	0.029531	TRUE	2	NA	NA	NA	NA	189440	3
CAD_Harst2017-rs2083636	rs2083636	INTS10	rs327	chr8	19819536	NA	NA	NA	NA	NA	Karpas-422-ENCODE	0.029434	TRUE	3	NA	NA	NA	NA	-190346	4
CAD_Harst2017-rs2083636	rs2083636	INTS10	rs331	chr8	19820405	NA	NA	NA	NA	NA	Karpas-422-ENCODE	0.029434	TRUE	3	NA	NA	NA	NA	-190346	4
CAD_Harst2017-rs2083636	rs2083636	LPL	rs327	chr8	19819536	NA	NA	NA	NA	NA	CD14-positive_monocyte-Novakovic2016	0.024656	TRUE	4	NA	NA	NA	NA	-68682	1
CAD_Harst2017-rs2083636	rs2083636	SLC18A1	rs327	chr8	19819536	NA	NA	NA	NA	NA	Karpas-422-ENCODE	0.037988	TRUE	1	NA	NA	NA	NA	175454	2
CAD_Harst2017-rs2083636	rs2083636	SLC18A1	rs331	chr8	19820405	NA	NA	NA	NA	NA	Karpas-422-ENCODE	0.037988	TRUE	1	NA	NA	NA	NA	175454	2
CAD_Harst2017-rs2107732	rs2107732	CCM2	rs2107732	chr7	45077978	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-38192	1
CAD_Harst2017-rs2145598	rs2145598	ACTR10	rs10137475	chr14	58797953	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.036067	TRUE	4	NA	NA	NA	NA	-127169	6
